Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-6.560e-04,4.69594,4.87219
-6.558e-04,4.68906,4.8575
-6.556e-04,4.6975,4.85281
-6.554e-04,4.685,4.86781
-6.552e-04,4.68562,4.86156
-6.550e-04,4.69313,4.86531
-6.548e-04,4.69937,4.85938
-6.546e-04,4.69031,4.87375
-6.544e-04,4.6925,4.86094
-6.542e-04,4.695,4.85594
-6.540e-04,4.69625,4.86625
-6.538e-04,4.69562,4.86438
-6.536e-04,4.69875,4.85938
-6.534e-04,4.69906,4.85656
-6.532e-04,4.69313,4.85969
-6.530e-04,4.69344,4.86156
-6.528e-04,4.69031,4.86469
-6.526e-04,4.69469,4.86094
-6.524e-04,4.69437,4.85719
-6.522e-04,4.70531,4.86375
-6.520e-04,4.69375,4.85875
-6.518e-04,4.69313,4.85094
-6.516e-04,4.69562,4.87219
-6.514e-04,4.69156,4.86469
-6.512e-04,4.68938,4.84594
-6.510e-04,4.70094,4.85625
-6.508e-04,4.68625,4.85406
-6.506e-04,4.68906,4.86969
-6.504e-04,4.70156,4.86656
-6.502e-04,4.69813,4.86219
-6.500e-04,4.70344,4.87344
-6.498e-04,4.69688,4.85344
-6.496e-04,4.70438,4.86906
-6.494e-04,4.70312,4.85031
-6.492e-04,4.7025,4.86688
-6.490e-04,4.70125,4.87312
-6.488e-04,4.70312,4.87813
-6.486e-04,4.68562,4.83938
-6.484e-04,4.69062,4.86125
-6.482e-04,4.70406,4.85844
-6.480e-04,4.69906,4.865
-6.478e-04,4.69156,4.84938
-6.476e-04,4.69156,4.86125
-6.474e-04,4.70469,4.85156
-6.472e-04,4.69625,4.86344
-6.470e-04,4.69562,4.85594
-6.468e-04,4.69906,4.8625
-6.466e-04,4.70344,4.87188
-6.464e-04,4.69281,4.85219
-6.462e-04,4.68688,4.86563
-6.460e-04,4.69281,4.86469
-6.458e-04,4.70031,4.85438
-6.456e-04,4.68875,4.86156
-6.454e-04,4.69469,4.85781
-6.452e-04,4.69281,4.85031
-6.450e-04,4.695,4.87
-6.448e-04,4.6875,4.85813
-6.446e-04,4.69531,4.85469
-6.444e-04,4.68594,4.87594
-6.442e-04,4.69656,4.86313
-6.440e-04,4.69031,4.86219
-6.438e-04,4.68906,4.86125
-6.436e-04,4.70063,4.86375
-6.434e-04,4.70094,4.865
-6.432e-04,4.68281,4.86188
-6.430e-04,4.69313,4.85844
-6.428e-04,4.70187,4.8575
-6.426e-04,4.70562,4.86656
-6.424e-04,4.68906,4.84094
-6.422e-04,4.6975,4.89875
-6.420e-04,4.69875,4.8725
-6.418e-04,4.68719,4.86469
-6.416e-04,4.69844,4.85875
-6.414e-04,4.68531,4.84406
-6.412e-04,4.69531,4.86156
-6.410e-04,4.69094,4.86563
-6.408e-04,4.68875,4.85844
-6.406e-04,4.69875,4.87156
-6.404e-04,4.695,4.85531
-6.402e-04,4.69594,4.86375
-6.400e-04,4.69719,4.86656
-6.398e-04,4.68969,4.87469
-6.396e-04,4.69656,4.85781
-6.394e-04,4.68812,4.88063
-6.392e-04,4.68531,4.86969
-6.390e-04,4.70187,4.865
-6.388e-04,4.70156,4.88469
-6.386e-04,4.68063,4.85562
-6.384e-04,4.68781,4.85469
-6.382e-04,4.69906,4.86031
-6.380e-04,4.69781,4.86438
-6.378e-04,4.71094,4.87125
-6.376e-04,4.69281,4.86656
-6.374e-04,4.69031,4.85781
-6.372e-04,4.695,4.86469
-6.370e-04,4.69656,4.855
-6.368e-04,4.69813,4.86438
-6.366e-04,4.70344,4.85688
-6.364e-04,4.695,4.85438
-6.362e-04,4.69156,4.87625
-6.360e-04,4.69781,4.84938
-6.358e-04,4.68625,4.85375
-6.356e-04,4.69406,4.86313
-6.354e-04,4.69719,4.85469
-6.352e-04,4.70219,4.85781
-6.350e-04,4.69875,4.85969
-6.348e-04,4.70344,4.85781
-6.346e-04,4.68063,4.85531
-6.344e-04,4.69375,4.86219
-6.342e-04,4.69813,4.86031
-6.340e-04,4.69062,4.865
-6.338e-04,4.68,4.86281
-6.336e-04,4.68969,4.86469
-6.334e-04,4.69781,4.86313
-6.332e-04,4.70469,4.87625
-6.330e-04,4.7075,4.84
-6.328e-04,4.69531,4.89813
-6.326e-04,4.68906,4.89156
-6.324e-04,4.69781,4.85688
-6.322e-04,4.69875,4.86656
-6.320e-04,4.70375,4.87844
-6.318e-04,4.69406,4.86781
-6.316e-04,4.69813,4.86188
-6.314e-04,4.70031,4.85313
-6.312e-04,4.68875,4.86594
-6.310e-04,4.69156,4.86469
-6.308e-04,4.69813,4.86656
-6.306e-04,4.69594,4.84531
-6.304e-04,4.70063,4.87719
-6.302e-04,4.69594,4.86313
-6.300e-04,4.69719,4.84313
-6.298e-04,4.68594,4.90406
