Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.1,
Sample Interval,1e-05,
Record Length,100000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-5.1000e-02,4.83,5.03469
-5.0990e-02,4.83406,5.03969
-5.0980e-02,4.83406,5.0375
-5.0970e-02,4.83125,5.0375
-5.0960e-02,4.83188,5.03625
-5.0950e-02,4.83188,5.03563
-5.0940e-02,4.83,5.03625
-5.0930e-02,4.83188,5.03563
-5.0920e-02,4.835,5.03813
-5.0910e-02,4.82969,5.03688
-5.0900e-02,4.83188,5.03563
-5.0890e-02,4.83312,5.0375
-5.0880e-02,4.8325,5.03625
-5.0870e-02,4.83469,5.03438
-5.0860e-02,4.83375,5.04
-5.0850e-02,4.83375,5.035
-5.0840e-02,4.83125,5.03813
-5.0830e-02,4.83344,5.03875
-5.0820e-02,4.83344,5.03406
-5.0810e-02,4.83312,5.03844
-5.0800e-02,4.83375,5.04125
-5.0790e-02,4.83219,5.035
-5.0780e-02,4.83125,5.03563
-5.0770e-02,4.83125,5.03844
-5.0760e-02,4.83125,5.04
-5.0750e-02,4.8325,5.03438
-5.0740e-02,4.83219,5.03563
-5.0730e-02,4.835,5.0375
-5.0720e-02,4.8325,5.0375
-5.0710e-02,4.83469,5.03969
-5.0700e-02,4.83375,5.035
-5.0690e-02,4.83594,5.04031
-5.0680e-02,4.83094,5.03688
-5.0670e-02,4.83375,5.04031
-5.0660e-02,4.835,5.03906
-5.0650e-02,4.835,5.03563
-5.0640e-02,4.83625,5.04031
-5.0630e-02,4.83469,5.04125
-5.0620e-02,4.83406,5.03875
-5.0610e-02,4.83188,5.03906
-5.0600e-02,4.83531,5.03469
-5.0590e-02,4.8325,5.03875
-5.0580e-02,4.83469,5.03969
-5.0570e-02,4.83625,5.03844
-5.0560e-02,4.83531,5.04094
-5.0550e-02,4.83375,5.04031
-5.0540e-02,4.835,5.04312
-5.0530e-02,4.83375,5.03281
-5.0520e-02,4.83375,5.03844
-5.0510e-02,4.835,5.03594
-5.0500e-02,4.83625,5.03688
-5.0490e-02,4.835,5.03625
-5.0480e-02,4.83406,5.03969
-5.0470e-02,4.83469,5.03625
-5.0460e-02,4.83188,5.04
-5.0450e-02,4.8325,5.03313
-5.0440e-02,4.83094,5.03813
-5.0430e-02,4.83344,5.0375
-5.0420e-02,4.83469,5.035
-5.0410e-02,4.83469,5.03406
-5.0400e-02,4.83625,5.03844
-5.0390e-02,4.83531,5.03688
-5.0380e-02,4.8325,5.03719
-5.0370e-02,4.83094,5.03813
-5.0360e-02,4.83094,5.03906
-5.0350e-02,4.8325,5.03719
-5.0340e-02,4.83344,5.03719
-5.0330e-02,4.83188,5.03594
-5.0320e-02,4.83188,5.03844
-5.0310e-02,4.83312,5.03813
-5.0300e-02,4.83125,5.03719
-5.0290e-02,4.83531,5.03563
-5.0280e-02,4.83219,5.03625
-5.0270e-02,4.83469,5.03563
-5.0260e-02,4.83219,5.03625
-5.0250e-02,4.83219,5.03719
-5.0240e-02,4.835,5.03688
