Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-6.560e-04,4.8325,5.02906
-6.558e-04,4.83312,5.03219
-6.556e-04,4.82906,5.02969
-6.554e-04,4.82594,5.01375
-6.552e-04,4.82938,5.02781
-6.550e-04,4.84375,5.03594
-6.548e-04,4.83656,5.03406
-6.546e-04,4.82687,5.02969
-6.544e-04,4.83281,5.0175
-6.542e-04,4.83,5.04094
-6.540e-04,4.8325,5.03188
-6.538e-04,4.83031,5.03625
-6.536e-04,4.83594,5.03406
-6.534e-04,4.83563,5.03906
-6.532e-04,4.82094,5.03438
-6.530e-04,4.8325,5.03406
-6.528e-04,4.83,5.03344
-6.526e-04,4.83906,5.025
-6.524e-04,4.83625,5.02844
-6.522e-04,4.82594,5.02906
-6.520e-04,4.82938,5.02906
-6.518e-04,4.82594,5.04563
-6.516e-04,4.82344,5.02594
-6.514e-04,4.82875,5.0275
-6.512e-04,4.82719,5.01813
-6.510e-04,4.83188,5.01594
-6.508e-04,4.82437,5.02438
-6.506e-04,4.8175,5.02875
-6.504e-04,4.83,5.04469
-6.502e-04,4.82844,5.01938
-6.500e-04,4.83469,5.02906
-6.498e-04,4.825,5.03313
-6.496e-04,4.83625,5.02562
-6.494e-04,4.82406,5.02844
-6.492e-04,4.83,5.02031
-6.490e-04,4.82844,5.04656
-6.488e-04,4.82875,5.01469
-6.486e-04,4.83281,5.025
-6.484e-04,4.82625,5.01688
-6.482e-04,4.82594,5.01562
-6.480e-04,4.83875,5.03438
-6.478e-04,4.83312,5.025
-6.476e-04,4.82969,5.03438
-6.474e-04,4.82906,5.02688
-6.472e-04,4.83375,5.03625
-6.470e-04,4.82313,5.02031
-6.468e-04,4.83469,5.10594
-6.466e-04,4.83375,4.93031
-6.464e-04,4.82938,5.04563
-6.462e-04,4.81969,5.03031
-6.460e-04,4.81656,5.02063
-6.458e-04,4.82844,5.02625
-6.456e-04,4.83188,5.01781
-6.454e-04,4.83156,5.03
-6.452e-04,4.83594,5.02281
-6.450e-04,4.82594,5.02594
-6.448e-04,4.82812,5.03031
-6.446e-04,4.82781,5.03406
-6.444e-04,4.83531,5.0325
-6.442e-04,4.83031,5.03031
-6.440e-04,4.8275,5.03094
-6.438e-04,4.83625,5.02719
-6.436e-04,4.82375,5.03594
-6.434e-04,4.83344,5.02594
-6.432e-04,4.82406,5.02719
-6.430e-04,4.83188,5.03406
-6.428e-04,4.82031,5.02531
-6.426e-04,4.82875,5.03906
-6.424e-04,4.84375,5.03375
-6.422e-04,4.8325,5.0175
-6.420e-04,4.82188,5.02031
-6.418e-04,4.82531,5.02438
-6.416e-04,4.84094,5.03656
-6.414e-04,4.82375,5.035
-6.412e-04,4.82719,5.03719
-6.410e-04,4.83969,5.02781
-6.408e-04,4.82625,5.03094
-6.406e-04,4.83125,5.03625
-6.404e-04,4.84,5.02344
-6.402e-04,4.83031,5.03625
-6.400e-04,4.835,5.03
-6.398e-04,4.83062,5.02438
-6.396e-04,4.83469,5.03406
-6.394e-04,4.84,5.01969
-6.392e-04,4.83719,5.01406
-6.390e-04,4.83656,5.05
-6.388e-04,4.83,5.02781
-6.386e-04,4.81594,5.03188
-6.384e-04,4.82281,5.03344
-6.382e-04,4.81906,5.02219
-6.380e-04,4.82375,5.0275
-6.378e-04,4.82313,5.02875
-6.376e-04,4.83,5.02969
-6.374e-04,4.82156,5.0225
-6.372e-04,4.82875,5.03813
-6.370e-04,4.83344,5.02094
-6.368e-04,4.82656,5.10594
-6.366e-04,4.83594,4.93375
-6.364e-04,4.82656,5.045
-6.362e-04,4.83156,5.01813
-6.360e-04,4.83062,5.04125
-6.358e-04,4.82375,5.04
-6.356e-04,4.82906,5.04125
-6.354e-04,4.82687,5.01813
-6.352e-04,4.8275,5.02906
-6.350e-04,4.83,5.02656
-6.348e-04,4.82625,5.0225
-6.346e-04,4.81937,5.01688
-6.344e-04,4.83156,5.03
-6.342e-04,4.82,5.02562
-6.340e-04,4.8275,5.02156
-6.338e-04,4.82594,5.025
-6.336e-04,4.83156,5.03281
-6.334e-04,4.82406,5.02625
-6.332e-04,4.82344,5.03281
-6.330e-04,4.81875,5.02937
-6.328e-04,4.8425,5.03313
-6.326e-04,4.83094,5.02188
-6.324e-04,4.83719,5.02125
-6.322e-04,4.81594,5.01969
-6.320e-04,4.83188,5.02094
-6.318e-04,4.82625,5.03406
-6.316e-04,4.82719,5.03031
-6.314e-04,4.82313,5.025
-6.312e-04,4.82406,5.02781
-6.310e-04,4.83031,5.01063
-6.308e-04,4.81906,5.02281
-6.306e-04,4.83094,5.03688
-6.304e-04,4.83094,5.0225
-6.302e-04,4.8225,5.02094
-6.300e-04,4.81188,5.02438
-6.298e-04,4.84156,5.02344
-6.296e-04,4.83375,5.03531
