Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-6.560e-04,4.82469,5.02
-6.558e-04,4.82625,5.02625
-6.556e-04,4.81406,5.01906
-6.554e-04,4.82188,5.02531
-6.552e-04,4.81281,5.01625
-6.550e-04,4.83938,5.01875
-6.548e-04,4.83219,5.02
-6.546e-04,4.82625,4.97781
-6.544e-04,4.81656,5.015
-6.542e-04,4.83188,5.10719
-6.540e-04,4.84375,5.03219
-6.538e-04,4.8225,4.96344
-6.536e-04,4.82812,4.985
-6.534e-04,4.82281,5.06938
-6.532e-04,4.82594,5.08
-6.530e-04,4.84844,5.00594
-6.528e-04,4.81906,4.96719
-6.526e-04,4.8175,5.00469
-6.524e-04,4.82406,4.94594
-6.522e-04,4.82563,5.16688
-6.520e-04,4.82781,4.99656
-6.518e-04,4.82094,5.03344
-6.516e-04,4.82781,5.02688
-6.514e-04,4.83437,5.02313
-6.512e-04,4.83375,5.025
-6.510e-04,4.81687,5.02562
-6.508e-04,4.84187,5.02406
-6.506e-04,4.83188,5.025
-6.504e-04,4.82563,5.02937
-6.502e-04,4.8275,5.01438
-6.500e-04,4.84969,5.24
-6.498e-04,4.82656,4.76938
-6.496e-04,4.82969,5.095
-6.494e-04,4.83344,5.00906
-6.492e-04,4.82188,5.03844
-6.490e-04,4.82125,5.01938
-6.488e-04,4.81469,5.02406
-6.486e-04,4.82531,5.02906
-6.484e-04,4.82344,5.01938
-6.482e-04,4.82656,5.02875
-6.480e-04,4.83031,5.03469
-6.478e-04,4.83906,5.02531
-6.476e-04,4.82719,5.03094
-6.474e-04,4.825,5.01844
-6.472e-04,4.81719,5.02406
-6.470e-04,4.8425,5.02813
-6.468e-04,4.84,5.02656
-6.466e-04,4.83,5.02438
-6.464e-04,4.83437,5.02844
-6.462e-04,4.825,5.01562
-6.460e-04,4.84063,5.02406
-6.458e-04,4.85125,5.02344
-6.456e-04,4.82156,5.02375
-6.454e-04,4.82188,5.02375
-6.452e-04,4.83188,5.02594
-6.450e-04,4.83188,5.02281
-6.448e-04,4.83094,4.98094
-6.446e-04,4.82313,5.01313
-6.444e-04,4.81906,5.11688
-6.442e-04,4.83,5.04281
-6.440e-04,4.82563,4.96813
-6.438e-04,4.83344,4.98062
-6.436e-04,4.82344,5.05531
-6.434e-04,4.83031,5.08625
-6.432e-04,4.83969,5.01844
-6.430e-04,4.81656,4.83188
-6.428e-04,4.825,5.23656
-6.426e-04,4.84125,4.9675
-6.424e-04,4.81188,5.02844
-6.422e-04,4.82938,5.02188
-6.420e-04,4.82875,5.02469
-6.418e-04,4.82969,5.02594
-6.416e-04,4.82375,5.02125
-6.414e-04,4.82188,5.0125
-6.412e-04,4.82188,5.01344
-6.410e-04,4.82938,5.02844
-6.408e-04,4.82156,5.01938
-6.406e-04,4.85187,5.05031
-6.404e-04,4.82406,4.98875
-6.402e-04,4.82406,5.06719
-6.400e-04,4.83188,5.01219
-6.398e-04,4.82875,5.02969
-6.396e-04,4.83281,5.02375
-6.394e-04,4.83969,5.0225
-6.392e-04,4.825,5.0125
-6.390e-04,4.82219,5.02156
-6.388e-04,4.84031,5.01625
-6.386e-04,4.82781,5.03219
-6.384e-04,4.82906,5.02188
-6.382e-04,4.82938,5.02469
-6.380e-04,4.82313,5.02906
-6.378e-04,4.82563,5.01625
-6.376e-04,4.83312,5.01406
-6.374e-04,4.83594,5.03219
-6.372e-04,4.82719,5.025
-6.370e-04,4.83844,5.02031
-6.368e-04,4.82812,5.02688
-6.366e-04,4.81781,5.0275
-6.364e-04,4.82375,5.01406
-6.362e-04,4.81937,5.02844
-6.360e-04,4.81719,5.01625
-6.358e-04,4.81844,5.01719
-6.356e-04,4.825,5.01813
-6.354e-04,4.81219,4.97125
-6.352e-04,4.81813,5.04219
-6.350e-04,4.82563,5.09719
-6.348e-04,4.83188,5.01875
-6.346e-04,4.8225,4.9675
-6.344e-04,4.80687,4.9975
-6.342e-04,4.8275,5.08063
-6.340e-04,4.82281,5.07437
-6.338e-04,4.83531,4.99406
-6.336e-04,4.83281,4.97969
-6.334e-04,4.83156,5.02156
-6.332e-04,4.82687,5.01438
-6.330e-04,4.83062,5.08469
-6.328e-04,4.82125,5.00281
-6.326e-04,4.82781,5.03469
-6.324e-04,4.82906,5.01125
-6.322e-04,4.82219,5.02813
-6.320e-04,4.82844,5.02281
-6.318e-04,4.83031,5.02813
-6.316e-04,4.83531,5.01375
-6.314e-04,4.835,5.03344
-6.312e-04,4.83094,5.0225
-6.310e-04,4.83312,5.02313
-6.308e-04,4.85,5.03938
-6.306e-04,4.81781,4.98188
-6.304e-04,4.82938,5.06406
-6.302e-04,4.83625,5.00313
-6.300e-04,4.82875,5.01375
-6.298e-04,4.82594,5.02844
-6.296e-04,4.82406,5.01156
