Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-6.560e-04,4.79219,5.02594
-6.558e-04,4.79625,4.99844
-6.556e-04,4.80281,4.99281
-6.554e-04,4.79969,4.99969
-6.552e-04,4.80281,4.99437
-6.550e-04,4.80156,4.99563
-6.548e-04,4.80219,4.99625
-6.546e-04,4.805,4.99844
-6.544e-04,4.80531,4.98188
-6.542e-04,4.80031,4.98656
-6.540e-04,4.80719,4.99219
-6.538e-04,4.79937,4.98656
-6.536e-04,4.79406,4.99375
-6.534e-04,4.79156,4.995
-6.532e-04,4.80906,4.99156
-6.530e-04,4.80125,4.98781
-6.528e-04,4.80563,4.99094
-6.526e-04,4.78594,4.98406
-6.524e-04,4.80031,4.99719
-6.522e-04,4.79156,5.00563
-6.520e-04,4.8075,4.99219
-6.518e-04,4.80531,4.98656
-6.516e-04,4.80625,4.98438
-6.514e-04,4.80031,4.99219
-6.512e-04,4.80656,4.99656
-6.510e-04,4.80906,4.97563
-6.508e-04,4.79156,4.93844
-6.506e-04,4.79937,5.01688
-6.504e-04,4.80312,5.07
-6.502e-04,4.80219,4.97906
-6.500e-04,4.80063,4.93
-6.498e-04,4.79438,4.86781
-6.496e-04,4.80594,5.165
-6.494e-04,4.80781,5.01469
-6.492e-04,4.80094,4.97094
-6.490e-04,4.80125,5.00219
-6.488e-04,4.80312,4.9975
-6.486e-04,4.81219,4.99156
-6.484e-04,4.80656,4.99844
-6.482e-04,4.80031,4.99844
-6.480e-04,4.81031,4.99781
-6.478e-04,4.80219,4.99812
-6.476e-04,4.79531,4.98969
-6.474e-04,4.80719,4.98938
-6.472e-04,4.795,5.11594
-6.470e-04,4.82656,4.87
-6.468e-04,4.79031,4.95906
-6.466e-04,4.80281,5.045
-6.464e-04,4.80687,4.99375
-6.462e-04,4.80156,5.00094
-6.460e-04,4.80531,4.99406
-6.458e-04,4.79969,4.98969
-6.456e-04,4.81125,4.98906
-6.454e-04,4.79906,4.99594
-6.452e-04,4.80625,4.99625
-6.450e-04,4.79438,4.99531
-6.448e-04,4.81031,4.99812
-6.446e-04,4.79844,4.99563
-6.444e-04,4.79594,4.98625
-6.442e-04,4.8025,4.99281
-6.440e-04,4.79937,4.99375
-6.438e-04,4.79188,4.995
-6.436e-04,4.79844,4.99
-6.434e-04,4.80625,4.97938
-6.432e-04,4.79375,4.99156
-6.430e-04,4.79875,4.9775
-6.428e-04,4.79312,4.99594
-6.426e-04,4.79781,4.98031
-6.424e-04,4.80406,4.99437
-6.422e-04,4.80781,4.98563
-6.420e-04,4.78313,4.99125
-6.418e-04,4.80187,4.98969
-6.416e-04,4.80938,4.97469
-6.414e-04,4.79,4.93562
-6.412e-04,4.79469,5.03938
-6.410e-04,4.80187,5.0625
-6.408e-04,4.81469,4.96156
-6.406e-04,4.8075,4.92188
-6.404e-04,4.80125,4.87688
-6.402e-04,4.7975,5.17281
-6.400e-04,4.805,4.97344
-6.398e-04,4.81188,4.96531
-6.396e-04,4.79875,4.98969
-6.394e-04,4.80656,4.99531
-6.392e-04,4.79406,4.99375
-6.390e-04,4.78906,4.97688
-6.388e-04,4.78781,4.99656
-6.386e-04,4.79688,4.98906
-6.384e-04,4.80094,4.98219
-6.382e-04,4.80875,4.98406
-6.380e-04,4.80813,4.99625
-6.378e-04,4.80406,5.23094
-6.376e-04,4.80969,4.745
-6.374e-04,4.79688,4.97813
-6.372e-04,4.80375,5.01969
-6.370e-04,4.79844,4.97938
-6.368e-04,4.80156,4.98563
-6.366e-04,4.78469,4.98719
-6.364e-04,4.80063,4.98563
-6.362e-04,4.79562,4.99719
-6.360e-04,4.80187,4.99281
-6.358e-04,4.80219,4.98594
-6.356e-04,4.80344,4.98656
-6.354e-04,4.79937,5.00344
-6.352e-04,4.81031,4.98688
-6.350e-04,4.80531,5.00031
-6.348e-04,4.79656,4.99875
-6.346e-04,4.80687,4.99125
-6.344e-04,4.80156,4.98906
-6.342e-04,4.80094,4.98281
-6.340e-04,4.80312,4.99313
-6.338e-04,4.79688,4.98531
-6.336e-04,4.80844,4.98813
-6.334e-04,4.81156,4.99031
-6.332e-04,4.80438,4.99875
-6.330e-04,4.79656,5.00063
-6.328e-04,4.8075,4.9925
-6.326e-04,4.80156,4.995
-6.324e-04,4.79688,4.98094
-6.322e-04,4.80094,4.96844
-6.320e-04,4.79406,4.95312
-6.318e-04,4.815,5.05313
-6.316e-04,4.80969,5.04531
-6.314e-04,4.80969,4.94094
-6.312e-04,4.78969,4.94063
-6.310e-04,4.80438,4.91156
-6.308e-04,4.78937,5.14438
-6.306e-04,4.81656,4.97219
-6.304e-04,4.80094,4.99688
-6.302e-04,4.81844,4.99375
-6.300e-04,4.8025,4.99313
-6.298e-04,4.80312,4.98969
