Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-6.560e-04,4.80844,4.99844
-6.558e-04,4.81406,4.99875
-6.556e-04,4.80813,5.00094
-6.554e-04,4.81281,5.00063
-6.552e-04,4.80594,5.00375
-6.550e-04,4.81438,5.00469
-6.548e-04,4.82375,5.00719
-6.546e-04,4.81687,4.99969
-6.544e-04,4.81969,5
-6.542e-04,4.80719,5.00563
-6.540e-04,4.81594,4.99781
-6.538e-04,4.82094,4.9975
-6.536e-04,4.81219,5.00688
-6.534e-04,4.81531,5.00125
-6.532e-04,4.80938,5.00781
-6.530e-04,4.80563,5.01
-6.528e-04,4.81344,5.00906
-6.526e-04,4.81844,5.00625
-6.524e-04,4.80875,5.01344
-6.522e-04,4.82125,4.99906
-6.520e-04,4.81438,4.98563
-6.518e-04,4.82156,4.99375
-6.516e-04,4.80938,5.00063
-6.514e-04,4.81469,5.00656
-6.512e-04,4.80813,5.00219
-6.510e-04,4.81469,4.98844
-6.508e-04,4.8175,5.005
-6.506e-04,4.81469,5.02125
-6.504e-04,4.80906,4.98438
-6.502e-04,4.81188,5.00469
-6.500e-04,4.81281,4.99125
-6.498e-04,4.80844,5.00031
-6.496e-04,4.80938,4.98438
-6.494e-04,4.82125,4.99875
-6.492e-04,4.8175,5.01156
-6.490e-04,4.81813,5.00344
-6.488e-04,4.81031,5.01187
-6.486e-04,4.82188,4.99969
-6.484e-04,4.81594,5.00625
-6.482e-04,4.81875,4.99625
-6.480e-04,4.82031,4.99094
-6.478e-04,4.81969,5.0075
-6.476e-04,4.82062,5.00563
-6.474e-04,4.81062,5.00219
-6.472e-04,4.81031,5.005
-6.470e-04,4.81188,5.00563
-6.468e-04,4.81,4.99
-6.466e-04,4.81813,5.00063
-6.464e-04,4.82844,5.00844
-6.462e-04,4.82406,4.99188
-6.460e-04,4.81156,5
-6.458e-04,4.81344,4.98719
-6.456e-04,4.8175,5.00375
-6.454e-04,4.81094,5.00219
-6.452e-04,4.81406,4.99
-6.450e-04,4.81219,5.00344
-6.448e-04,4.8225,5.00313
-6.446e-04,4.81188,4.99656
-6.444e-04,4.80687,5.01
-6.442e-04,4.82344,4.99156
-6.440e-04,4.80813,5.00313
-6.438e-04,4.81281,4.99781
-6.436e-04,4.80656,4.99563
-6.434e-04,4.81188,5.01156
-6.432e-04,4.81687,4.9875
-6.430e-04,4.81125,5.00281
-6.428e-04,4.81062,5.00281
-6.426e-04,4.81438,5.00906
-6.424e-04,4.825,5.00469
-6.422e-04,4.81156,4.99781
-6.420e-04,4.815,5.0025
-6.418e-04,4.80469,5.00906
-6.416e-04,4.80938,4.9975
-6.414e-04,4.80938,5.01625
-6.412e-04,4.795,4.97969
-6.410e-04,4.81469,5.02344
-6.408e-04,4.815,5.00313
-6.406e-04,4.80312,4.9925
-6.404e-04,4.81219,4.99594
-6.402e-04,4.81125,4.9975
-6.400e-04,4.81125,4.9925
-6.398e-04,4.80531,4.99531
-6.396e-04,4.80813,5.00313
-6.394e-04,4.81062,4.98875
-6.392e-04,4.81125,4.99656
-6.390e-04,4.79969,5.00719
-6.388e-04,4.80875,5.00469
-6.386e-04,4.81344,5.0175
-6.384e-04,4.80875,5.015
-6.382e-04,4.81156,5.01281
-6.380e-04,4.80156,5
-6.378e-04,4.81594,4.99938
-6.376e-04,4.81844,5.00656
-6.374e-04,4.81406,5.00313
-6.372e-04,4.81594,5.0075
-6.370e-04,4.81625,5.00781
-6.368e-04,4.81312,5.00438
-6.366e-04,4.81406,5.00844
-6.364e-04,4.80875,5.00094
-6.362e-04,4.81438,5.01187
-6.360e-04,4.80781,5.00469
-6.358e-04,4.81438,5.00063
-6.356e-04,4.82125,5.00313
-6.354e-04,4.81344,5.0025
-6.352e-04,4.82031,4.9975
-6.350e-04,4.80906,4.98938
-6.348e-04,4.81594,4.99406
-6.346e-04,4.81094,4.99313
-6.344e-04,4.80219,5.01813
-6.342e-04,4.80938,4.99969
-6.340e-04,4.80938,5.00125
-6.338e-04,4.81,4.99125
-6.336e-04,4.8075,5.01531
-6.334e-04,4.81406,5.00219
-6.332e-04,4.81312,4.99781
-6.330e-04,4.80531,5.00625
-6.328e-04,4.81719,5.00281
-6.326e-04,4.825,5.00031
-6.324e-04,4.80563,4.99188
-6.322e-04,4.81625,4.99969
-6.320e-04,4.80375,5.02156
-6.318e-04,4.79813,4.99375
-6.316e-04,4.80438,4.98375
-6.314e-04,4.81281,5.01156
-6.312e-04,4.81219,4.99719
-6.310e-04,4.80719,5.00094
-6.308e-04,4.8075,5.00406
-6.306e-04,4.80594,5.00438
-6.304e-04,4.81219,5.00188
-6.302e-04,4.82563,5.00219
-6.300e-04,4.81094,5.00625
-6.298e-04,4.79594,5.01
-6.296e-04,4.81188,5.00938
